repeat,outer_fold,feature_set,model,inner_macro_f1_mean,inner_macro_f1_std,inner_fold_scores
3,3,Frekuensi,Random Forest,0.5640458044259887,0.1130387017938115,"[0.511904761905, 0.552337063858, 0.725274725275, 0.466666666667]"
3,3,Gabungan 6 Fitur,Logistic Regression,0.8187389123278416,0.08384053207250766,"[0.798596491228, 0.786666666667, 0.940476190476, 0.74921630094]"
3,3,Gabungan 6 Fitur,SVM (RBF),0.9339491991429315,0.04293053631342684,"[0.909358879882, 0.970909090909, 0.969488939741, 0.88603988604]"
3,3,Gabungan 6 Fitur,Random Forest,0.8889978838228434,0.06679963367406995,"[0.84893146647, 0.916142557652, 0.969488939741, 0.821428571429]"
3,4,Edge/Morfologi,Logistic Regression,0.7507650375548034,0.06797214894025504,"[0.674603174603, 0.767891682785, 0.835164835165, 0.725400457666]"
3,4,Edge/Morfologi,SVM (RBF),0.7788726961386929,0.06741312234002696,"[0.711943793911, 0.815668202765, 0.854545454545, 0.733333333333]"
3,4,Edge/Morfologi,Random Forest,0.7609044341955092,0.12363586936314294,"[0.662087912088, 0.912727272727, 0.810682893847, 0.65811965812]"
3,4,Tekstur,Logistic Regression,0.7285778335939812,0.11145857790745364,"[0.788504053058, 0.580306698951, 0.710335747202, 0.835164835165]"
3,4,Tekstur,SVM (RBF),0.7822309479231676,0.08226918976426673,"[0.813636363636, 0.664378337147, 0.796363636364, 0.854545454545]"
3,4,Tekstur,Random Forest,0.7823381233371092,0.07057436124516056,"[0.751515151515, 0.702380952381, 0.810682893847, 0.864773495605]"
3,4,Frekuensi,Logistic Regression,0.5017211263036288,0.14238095750657295,"[0.497549019608, 0.51746031746, 0.669841269841, 0.322033898305]"
3,4,Frekuensi,SVM (RBF),0.612796608007618,0.04474616628156482,"[0.59, 0.561573178594, 0.657669519421, 0.641943734015]"
3,4,Frekuensi,Random Forest,0.5891239982527441,0.07871353973347037,"[0.598039215686, 0.505494505495, 0.56043956044, 0.692522711391]"
3,4,Gabungan 6 Fitur,Logistic Regression,0.8135302197802197,0.12543635847942766,"[0.831043956044, 0.642857142857, 0.945054945055, 0.835164835165]"
3,4,Gabungan 6 Fitur,SVM (RBF),0.9136424424214933,0.02601562006810938,"[0.882183908046, 0.908466819222, 0.918864097363, 0.945054945055]"
3,4,Gabungan 6 Fitur,Random Forest,0.9200596883176584,0.04579466359583379,"[0.882183908046, 0.880952380952, 0.945054945055, 0.972047519217]"
3,5,Edge/Morfologi,Logistic Regression,0.7658354955229956,0.04838526739644339,"[0.77207977208, 0.831043956044, 0.720634920635, 0.739583333333]"
3,5,Edge/Morfologi,SVM (RBF),0.7608155147025418,0.08634829312606276,"[0.666666666667, 0.875757575758, 0.744245524297, 0.756592292089]"
3,5,Edge/Morfologi,Random Forest,0.7527111623875886,0.026151114625252155,"[0.74921630094, 0.718406593407, 0.763001974984, 0.78021978022]"
3,5,Tekstur,Logistic Regression,0.7564611160976562,0.06011189500244738,"[0.733333333333, 0.831043956044, 0.689387402934, 0.77207977208]"
3,5,Tekstur,SVM (RBF),0.8266709019923515,0.04430168012193511,"[0.82905982906, 0.882183908046, 0.774011299435, 0.821428571429]"
3,5,Tekstur,Random Forest,0.7869482200145815,0.05628607633202455,"[0.78021978022, 0.861952861953, 0.725400457666, 0.78021978022]"
3,5,Frekuensi,Logistic Regression,0.6056946203521281,0.0941778453378084,"[0.59595959596, 0.698529411765, 0.479166666667, 0.649122807018]"
3,5,Frekuensi,SVM (RBF),0.6352250940356152,0.14731933576556883,"[0.626666666667, 0.837301587302, 0.4861392833, 0.590792838875]"
3,5,Frekuensi,Random Forest,0.6028733456991121,0.026478656195814274,"[0.594320486815, 0.607221812822, 0.636617749825, 0.573333333333]"
3,5,Gabungan 6 Fitur,Logistic Regression,0.8446518878003019,0.0444071634250369,"[0.864773495605, 0.837301587302, 0.786422578185, 0.89010989011]"
3,5,Gabungan 6 Fitur,SVM (RBF),0.8994365622512076,0.040841920815525665,"[0.89010989011, 0.917171717172, 0.847444698703, 0.94301994302]"
3,5,Gabungan 6 Fitur,Random Forest,0.9039265815853837,0.07742276947549981,"[0.89010989011, 0.913684210526, 0.811912225705, 1.0]"
4,1,Edge/Morfologi,Logistic Regression,0.7375431492625938,0.027860008960688475,"[0.728076639646, 0.702501690331, 0.763001974984, 0.756592292089]"
4,1,Edge/Morfologi,SVM (RBF),0.729272657167394,0.03426463892126427,"[0.691729323308, 0.738181818182, 0.77207977208, 0.7150997151]"
4,1,Edge/Morfologi,Random Forest,0.8026347013355983,0.05570534500594768,"[0.839968774395, 0.860237596087, 0.748427672956, 0.761904761905]"
4,1,Tekstur,Logistic Regression,0.7755871289736691,0.0857004376770419,"[0.806734006734, 0.880952380952, 0.689387402934, 0.725274725275]"
4,1,Tekstur,SVM (RBF),0.8328222115819182,0.09589895537693227,"[0.971228070175, 0.821428571429, 0.758412424504, 0.78021978022]"
4,1,Tekstur,Random Forest,0.8254310329782027,0.0620545200289342,"[0.917171717172, 0.804332634521, 0.8, 0.78021978022]"
4,1,Frekuensi,Logistic Regression,0.3914061289007121,0.10571632685088223,"[0.365512159175, 0.289005924951, 0.371464487744, 0.539641943734]"
4,1,Frekuensi,SVM (RBF),0.595199606895806,0.17730544725336186,"[0.751515151515, 0.66473243069, 0.341672152732, 0.622878692646]"
